"movieId","movieTitle","movieYear","movieURL","movieRank","critic_score","audience_score"
"bc5cc9ac-0965-376a-a85b-51a65aaa9e94","The Sound of Music",1965,"https://www.rottentomatoes.com/m/sound_of_music",80,"83%","91%"
"4e62dac2-355e-3493-97bb-b6178a200a61","Terms of Endearment",1983,"https://www.rottentomatoes.com/m/terms_of_endearment",81,"82%","83%"
"f3a41fd6-4370-3e7c-832d-65c35705f109","Gentleman's Agreement",1947,"https://www.rottentomatoes.com/m/gentlemans_agreement",82,"82%","78%"
"a7b45dd0-a33e-3c3a-9e7e-0c532f763ee6","Tom Jones",1963,"https://www.rottentomatoes.com/m/tom_jones",83,"81%","58%"
"27a7230e-0f88-3555-9266-974a10cd97b2","Gladiator",2000,"https://www.rottentomatoes.com/m/gladiator",84,"80%","87%"
"d7a79475-051b-397d-b88e-7ef321adde70","Green Book",2018,"https://www.rottentomatoes.com/m/green_book",85,"77%","91%"
"c7932403-fa74-3121-82d4-2eeae2dd4d5f","Forrest Gump",1994,"https://www.rottentomatoes.com/m/forrest_gump",86,"76%","95%"
"4ad72833-11f8-35d7-9010-b00b0cbffb8a","Braveheart",1995,"https://www.rottentomatoes.com/m/1065684-braveheart",87,"76%","85%"
"ca99933c-62af-36ac-8e7c-27d00772b2d2","Crash",2004,"https://www.rottentomatoes.com/m/1144992-crash",88,"74%","88%"
"648dd88e-b36e-36b6-86b6-6ac6b2cbe777","A Beautiful Mind",2001,"https://www.rottentomatoes.com/m/beautiful_mind",89,"74%","93%"
"c8253783-e21d-3eeb-acf5-d6c75d0f7135","Going My Way",1944,"https://www.rottentomatoes.com/m/going_my_way",90,"83%","74%"
"57f29209-2f03-323d-9f58-9c89823ec680","Around the World in 80 Days",1956,"https://www.rottentomatoes.com/m/1001193-around_the_world_in_80_days",91,"72%","57%"
"716da691-fcea-3594-8dd2-31994f0c926b","The Great Ziegfeld",1936,"https://www.rottentomatoes.com/m/the_great_ziegfeld",92,"71%","50%"
"e1dd3458-dfca-3d96-8ee6-19908fffa11c","Cavalcade",1933,"https://www.rottentomatoes.com/m/cavalcade",93,"66%","27%"
"1c1cc87f-6e6a-34bc-9146-9d33a0707675","Out of Africa",1985,"https://www.rottentomatoes.com/m/out_of_africa",94,"62%","82%"
"2a18102c-ce3e-3ad7-9c6c-47d849dcb779","The Greatest Show on Earth",1952,"https://www.rottentomatoes.com/m/greatest_show_on_earth",95,"50%","53%"
"fe5b3e73-40c2-3559-b40e-3d802468ace9","Cimarron",1931,"https://www.rottentomatoes.com/m/1004177-cimarron",96,"50%","25%"
"0edb8bf2-4513-3224-bcae-af4fdafa2cc3","The Broadway Melody",1929,"https://www.rottentomatoes.com/m/broadway_melody",97,"42%","21%"
